"ID" "Place"	"Latitude"	"Longitude"	"TMean"	"Tpr"	"count_animals"	"is_nationalPark"
"1"	"Amsterdam"	52.3676	4.9041	6.41518034680924	25.0988514861092	40	1
"2"	"Athens"	37.9838	23.7275	9.84988690722342	51.3731557875872	17	1
"3"	"Berlin"	52.52	13.405	-11.7796735950421	36.1796624260023	45	1
"4"	"Bern"	46.948	7.4474	-3.49719991518254	60.8833895763382	50	1
"5"	"Bratislava"	48.1486	17.1077	-8.23294175876136	77.3626942187548	77	0
"6"	"Brussels"	50.8503	4.3517	17.8954515813178	62.1737575391307	56	1
"7"	"Bucharest"	44.4268	26.1025	-16.8932907131465	9.37873919028789	37	0
"8"	"Budapest"	47.4979	19.0402	5.25690257490589	83.8857958326116	71	1
"9"	"Copenhagen"	55.6761	12.5683	-1.23232084658921	2.95998551882803	79	0
"10"	"Dublin"	53.3498	-6.2603	11.8097437110155	9.50131369754672	39	0
"11"	"Edinburgh"	55.9533	-3.1883	8.29181539115968	56.2306054634973	3	0
"12"	"Gibraltar"	36.1408	-5.3536	-8.98173751329749	33.8185728760436	2	0
"13"	"Helsinki"	60.1695	24.9384	6.99900671536744	26.3729743659496	78	0
"14"	"Istanbul"	41.0082	28.9784	2.31788976155836	90.25664688088	80	1
"15"	"Kiev"	50.4501	30.5234	12.467941737495	69.2884869175032	38	0
"16"	"Lisbon"	38.7223	-9.1393	-0.388987580084201	61.5863428683951	67	1
"17"	"Ljubljana"	46.0569	14.5058	28.4091374937703	11.758117354475	35	0
"18"	"London"	51.5074	-0.1278	0.332969948360999	33.0723092192784	76	0
"19"	"Luxembourg"	49.6116	6.1319	-16.0230914745444	72.2605208400637	61	1
"20"	"Madrid"	40.4168	-3.7038	7.43613967778764	43.8853392843157	4	1
"21"	"Minsk"	53.9006	27.5667	-3.96139350033083	60.436225309968	14	0
"22"	"Monaco"	43.7384	7.4246	6.30011735809234	53.2899240031838	12	1
"23"	"Moscow"	55.7558	37.6173	1.92205938651477	27.620505890809	48	1
"24"	"Oslo"	59.9139	10.7522	-8.42419140444759	59.6593529684469	22	1
"25"	"Paris"	48.8566	2.3522	21.1267263838853	56.8705905694515	16	0
"26"	"Prague"	50.0755	14.4378	-0.464765147695801	41.6222017724067	9	0
"27"	"Reykjavik"	64.1466	-21.9426	3.41333522758105	6.58734054304659	29	0
"28"	"Riga"	56.9496	24.1052	-3.53613177704579	26.6683329828084	74	0
"29"	"Rome"	41.9028	12.4964	-5.69487703442292	94.6119400905445	20	1
"30"	"Saint Petersburg"	59.9343	30.3351	16.6163137119438	70.3123639337718	6	1
"31"	"Sarajevo"	43.8563	18.4131	15.1954716113851	38.8512004632503	41	1
"32"	"Skopje"	41.9973	21.4314	6.611672548619	49.1475039860234	55	0
"33"	"Sofia"	42.6977	23.3219	13.9933305811026	42.8842777153477	30	1
"34"	"Stockholm"	59.3293	18.0686	6.41934553898249	20.2487686648965	43	1
"35"	"Tallinn"	59.4369	24.7536	18.2027303994918	82.5241085141897	24	1
"36"	"Tirana"	41.3275	19.8187	13.1744030062624	76.4298913069069	8	0
"37"	"Vaduz"	47.141	9.5246	-8.42759192322264	73.7982045859098	72	0
"38"	"Valletta"	35.8989	14.5146	15.0049119082598	16.2146548740566	53	1
"39"	"Vatican City"	41.9029	12.4534	4.38858537697456	99.8153385706246	26	0
"40"	"Vienna"	48.2082	16.3738	11.3840682580729	57.0561973610893	23	1
"41"	"Vilnius"	54.6872	25.2797	-13.4661250140491	44.3348051747307	73	1
"42"	"Warsaw"	52.2297	21.0122	19.1991669751498	49.8779457760975	66	0
"43"	"Zagreb"	45.815	15.9819	-5.95130613705246	83.8370393496007	34	0
"44"	"Mount Elbrus"	43.3499	42.4422	4.54120618858595	44.9975450057536	75	0
"45"	"Loch Ness"	57.2604	-4.235	-6.10154455713259	70.7478956552222	27	0
"46"	"La Sagrada Familia"	41.4036	2.1744	-0.78592053130552	38.5859880130738	70	1
"47"	"Eiffel Tower"	48.8584	2.2945	5.02728431459411	82.9042926197872	64	0
"48"	"Acropolis of Athens"	37.9715	23.7275	3.85485989171149	65.6548936851323	5	0
"49"	"The Black Sea"	43.5769	35.2358	-3.98912560542901	47.3109985003248	10	1
"50"	"The Alps"	46.8182	8.2275	4.9790356748226	61.7370834806934	49	1
